Date,Currency,Central Rate,Inflation Rate NG,Inflation Rate US,Crude Oil Price in USD
2009-10-23,US DOLLAR,148.11,11.6,-0.2,80.49
2009-11-04,US DOLLAR,149.13,12.4,1.8,78.93
2009-11-06,US DOLLAR,149.13,12.4,1.8,78.65
2009-11-11,US DOLLAR,149.61,12.4,1.8,78.54
2009-11-13,US DOLLAR,149.61,12.4,1.8,76.71
2009-11-20,US DOLLAR,149.25,12.4,1.8,77.45
2009-11-23,US DOLLAR,147.9,12.4,1.8,79.0
2009-11-25,US DOLLAR,148.0,12.4,1.8,77.04
2009-11-30,US DOLLAR,147.81,12.4,1.8,77.72
2009-12-04,US DOLLAR,147.81,13.9,2.7,79.3
2009-12-07,US DOLLAR,148.59,13.9,2.7,77.84
2009-12-08,US DOLLAR,148.59,13.9,2.7,76.85
2009-12-09,US DOLLAR,147.5,13.9,2.7,76.21
2009-12-10,US DOLLAR,147.5,13.9,2.7,73.18
2009-12-11,US DOLLAR,147.5,13.9,2.7,72.62
2009-12-15,US DOLLAR,147.5,13.9,2.7,72.45
2009-12-16,US DOLLAR,147.6,13.9,2.7,73.61
2009-12-17,US DOLLAR,147.6,13.9,2.7,73.27
2009-12-22,US DOLLAR,147.6,13.9,2.7,72.92
2009-12-23,US DOLLAR,147.6,13.9,2.7,74.33
2009-12-28,US DOLLAR,147.6,13.9,2.7,77.5
2009-12-29,US DOLLAR,147.6,13.9,2.7,78.15
2009-12-30,US DOLLAR,147.6,13.9,2.7,79.04
2009-12-31,US DOLLAR,147.6,13.9,2.7,79.43
2010-01-04,US DOLLAR,147.1,14.4,2.6,80.07
2010-01-05,US DOLLAR,147.1,14.4,2.6,80.97
2010-01-06,US DOLLAR,147.41,14.4,2.6,80.7
2010-01-07,US DOLLAR,147.41,14.4,2.6,82.45
2010-01-08,US DOLLAR,147.41,14.4,2.6,81.38
2010-01-11,US DOLLAR,147.91,14.4,2.6,82.43
2010-01-12,US DOLLAR,147.91,14.4,2.6,80.82
2010-01-13,US DOLLAR,148.33,14.4,2.6,79.6
2010-01-14,US DOLLAR,148.33,14.4,2.6,79.22
2010-01-15,US DOLLAR,148.33,14.4,2.6,78.21
2010-01-18,US DOLLAR,147.53,14.4,2.6,77.53
2010-01-19,US DOLLAR,147.53,14.4,2.6,76.32
2010-01-20,US DOLLAR,147.63,14.4,2.6,76.68
2010-01-21,US DOLLAR,147.63,14.4,2.6,76.28
2010-01-22,US DOLLAR,147.63,14.4,2.6,74.24
2010-01-25,US DOLLAR,148.13,14.4,2.6,73.33
2010-01-26,US DOLLAR,148.13,14.4,2.6,73.45
2010-01-27,US DOLLAR,148.33,14.4,2.6,73.64
2010-01-28,US DOLLAR,148.33,14.4,2.6,72.74
2010-01-29,US DOLLAR,148.33,14.4,2.6,72.41
2010-02-01,US DOLLAR,148.5,15.6,2.1,72.41
2010-02-02,US DOLLAR,148.5,15.6,2.1,74.37
2010-02-03,US DOLLAR,148.44,15.6,2.1,77.2
2010-02-04,US DOLLAR,148.44,15.6,2.1,73.65
2010-02-05,US DOLLAR,148.44,15.6,2.1,70.77
2010-02-08,US DOLLAR,148.44,15.6,2.1,70.84
2010-02-09,US DOLLAR,148.44,15.6,2.1,72.0
2010-02-10,US DOLLAR,148.1,15.6,2.1,72.83
2010-02-11,US DOLLAR,148.1,15.6,2.1,74.26
2010-02-12,US DOLLAR,148.1,15.6,2.1,73.46
2010-02-15,US DOLLAR,147.98,15.6,2.1,73.93
2010-02-16,US DOLLAR,147.98,15.6,2.1,74.53
2010-02-17,US DOLLAR,148.21,15.6,2.1,76.76
2010-02-18,US DOLLAR,148.21,15.6,2.1,76.51
2010-02-19,US DOLLAR,148.21,15.6,2.1,77.62
2010-02-22,US DOLLAR,148.1,15.6,2.1,78.76
2010-02-23,US DOLLAR,148.1,15.6,2.1,78.22
2010-02-24,US DOLLAR,148.11,15.6,2.1,77.36
2010-02-25,US DOLLAR,148.11,15.6,2.1,77.68
2010-03-01,US DOLLAR,147.91,14.8,2.3,77.42
2010-03-02,US DOLLAR,147.91,14.8,2.3,77.99
2010-03-03,US DOLLAR,147.81,14.8,2.3,79.16
2010-03-04,US DOLLAR,147.81,14.8,2.3,79.57
2010-03-05,US DOLLAR,147.81,14.8,2.3,80.0
2010-03-08,US DOLLAR,147.81,14.8,2.3,80.96
2010-03-09,US DOLLAR,147.81,14.8,2.3,80.01
2010-03-10,US DOLLAR,147.75,14.8,2.3,80.82
2010-03-11,US DOLLAR,147.75,14.8,2.3,81.21
2010-03-15,US DOLLAR,147.85,14.8,2.3,79.54
2010-03-16,US DOLLAR,147.85,14.8,2.3,79.77
2010-03-17,US DOLLAR,147.9,14.8,2.3,81.87
2010-03-18,US DOLLAR,147.9,14.8,2.3,81.82
2010-03-19,US DOLLAR,147.9,14.8,2.3,81.16
2010-03-22,US DOLLAR,147.81,14.8,2.3,79.07
2010-03-23,US DOLLAR,147.81,14.8,2.3,80.32
2010-03-24,US DOLLAR,147.8,14.8,2.3,79.53
2010-03-25,US DOLLAR,147.8,14.8,2.3,79.86
2010-03-26,US DOLLAR,147.8,14.8,2.3,80.65
2010-03-29,US DOLLAR,148.01,14.8,2.3,80.26
2010-03-30,US DOLLAR,148.01,14.8,2.3,81.1
2010-03-31,US DOLLAR,147.8,14.8,2.3,81.16
2010-04-01,US DOLLAR,147.8,15.0,2.2,83.65
2010-04-06,US DOLLAR,147.8,15.0,2.2,86.04
2010-04-07,US DOLLAR,147.75,15.0,2.2,86.07
2010-04-08,US DOLLAR,147.75,15.0,2.2,84.93
2010-04-09,US DOLLAR,147.75,15.0,2.2,85.03
2010-04-12,US DOLLAR,147.8,15.0,2.2,84.81
2010-04-13,US DOLLAR,147.8,15.0,2.2,85.06
2010-04-14,US DOLLAR,147.85,15.0,2.2,86.08
2010-04-15,US DOLLAR,147.85,15.0,2.2,87.44
2010-04-16,US DOLLAR,147.85,15.0,2.2,86.71
2010-04-19,US DOLLAR,147.91,15.0,2.2,84.21
2010-04-20,US DOLLAR,147.91,15.0,2.2,85.64
2010-04-21,US DOLLAR,147.93,15.0,2.2,86.19
2010-04-22,US DOLLAR,147.93,15.0,2.2,85.94
2010-05-25,US DOLLAR,148.37,12.9,2.0,68.23
2010-05-26,US DOLLAR,148.325,12.9,2.0,71.67
2010-06-10,US DOLLAR,148.39,14.1,1.1,75.26
